,x1,x2,x3,Result,Pesos Iniciais,Pesos Finais,Theta Inicial,Theta Final,Epocas
0,-0.3665,0.062,5.9891,-1,0.29935905215161296,2.8047470521514852,0.8635130532509389,-5.036486946749043,4150.0
1,-0.7842,1.1267,5.5912,1,0.9020822895881634,4.840700289588283,0.0,0.0,0.0
2,0.3012,0.5611,5.8234,1,0.6146767835722748,-1.2551092164277333,0.0,0.0,0.0
3,0.7757,1.0648,8.0677,1,0.0,0.0,0.0,0.0,0.0
4,0.157,0.8028,6.304,1,0.0,0.0,0.0,0.0,0.0
5,-0.7014,1.0316,3.6005,1,0.0,0.0,0.0,0.0,0.0
6,0.3748,0.1536,6.1537,-1,0.0,0.0,0.0,0.0,0.0
7,-0.692,0.9404,4.4058,1,0.0,0.0,0.0,0.0,0.0
8,-1.397,0.7141,4.9263,-1,0.0,0.0,0.0,0.0,0.0
9,-1.8842,-0.2805,1.2548,-1,0.0,0.0,0.0,0.0,0.0
