,x1,x2,x3,Result,Pesos Iniciais,Pesos Finais,Theta Inicial,Theta Final,Epocas
0,-0.3665,0.062,5.9891,-1,0.8061721503040585,2.8268701503039275,0.7669081277274996,-5.073091872272481,4173.0
1,-0.7842,1.1267,5.5912,1,0.9545124318513198,4.888240431851449,0.0,0.0,0.0
2,0.3012,0.5611,5.8234,1,0.9088504595021395,-1.2655875404978676,0.0,0.0,0.0
3,0.7757,1.0648,8.0677,1,0.0,0.0,0.0,0.0,0.0
4,0.157,0.8028,6.304,1,0.0,0.0,0.0,0.0,0.0
5,-0.7014,1.0316,3.6005,1,0.0,0.0,0.0,0.0,0.0
6,0.3748,0.1536,6.1537,-1,0.0,0.0,0.0,0.0,0.0
7,-0.692,0.9404,4.4058,1,0.0,0.0,0.0,0.0,0.0
8,-1.397,0.7141,4.9263,-1,0.0,0.0,0.0,0.0,0.0
9,-1.8842,-0.2805,1.2548,-1,0.0,0.0,0.0,0.0,0.0
